book,chapter,verse,wlc,kjv,goi,decision,reason,edited
2SA,7,19,וַתִּקְטַן֩ ע֨וֹד זֹ֤את בְּעֵינֶ֨יךָ֙ אֲדֹנָ֣י יְהוִ֔ה וַתְּדַבֵּ֛ר גַּ֥ם אֶל בֵּֽית עַבְדְּךָ֖ לְמֵֽרָח֑וֹק וְזֹ֛את תּוֹרַ֥ת הָאָדָ֖ם אֲדֹנָ֥י יְהוִֽה,"And this was yet a small thing in thy sight, O Lord GOD; but thou hast spoken also of thy servant’s house for a great while to come. And [is] this the manner of man, O Lord GOD?","And this thing is yet small in your eyes, my Lord God, and you have spoken also concerning the house of your servant for a great while to come; and this is the law of man, my Lord God.",no_edit,"GOI already renders WLC's Adonai vocative as direct address ('my Lord God'), consistent with GOI's convention elsewhere. No 'funny' reading.",
2SA,7,28,וְעַתָּ֣ה אֲדֹנָ֣י יְהוִ֗ה אַתָּה הוּא֙ הָֽאֱלֹהִ֔ים וּדְבָרֶ֖יךָ יִהְי֣וּ אֱמֶ֑ת וַתְּדַבֵּר֙ אֶֽל עַבְדְּךָ֔ אֶת הַטּוֹבָ֖ה הַזֹּֽאת,"And now, O Lord GOD, thou [art] that God, and thy words be true, and thou hast promised this goodness unto thy servant:","And now, (my) Lord God, you are the one who is God, and your words shall be true, and you have spoken this good thing to your servant.",edit,"GOI text contains a literal, unresolved '(my)' placeholder before 'Lord God' — a data artifact, not a deliberate rendering. Elsewhere (2SA 7:18/19/29) GOI writes the same address cleanly as 'my Lord God' with no parentheses.","And now, my Lord God, you are the one who is God, and your words shall be true, and you have spoken this good thing to your servant."
2SA,7,29,וְעַתָּ֗ה הוֹאֵל֙ וּבָרֵךְ֙ אֶת בֵּ֣ית עַבְדְּךָ֔ לִהְי֥וֹת לְעוֹלָ֖ם לְפָנֶ֑יךָ כִּֽי אַתָּ֞ה אֲדֹנָ֤י יְהוִה֙ דִּבַּ֔רְתָּ וּמִבִּרְכָ֣תְךָ֔ יְבֹרַ֥ךְ בֵּֽית עַבְדְּךָ֖ לְעוֹלָֽם,"Therefore now let it please thee to bless the house of thy servant, that it may continue for ever before thee: for thou, O Lord GOD, hast spoken [it]: and with thy blessing let the house of thy servant be blessed for ever.","And now, please bless the house of your servant, that it may continue forever before you, for you, my Lord God, have spoken; and by your blessing, let the house of your servant be blessed forever.",no_edit,"GOI already renders WLC's Adonai vocative as direct address ('my Lord God, have spoken'), clean and consistent with GOI's convention elsewhere.",
AMO,7,5,וָאֹמַ֗ר אֲדֹנָ֤י יְהוִה֙ חֲדַל נָ֔א מִ֥י יָק֖וּם יַעֲקֹ֑ב כִּ֥י קָטֹ֖ן הֽוּא,"Then said I, O Lord GOD, cease, I beseech thee: by whom shall Jacob arise? for he [is] small.","And I said, ""(My) Lord God, cease, I beg You; how can Jacob stand? For he is small.""",edit,"GOI text contains a literal, unresolved '(My)' placeholder before 'Lord God' — a data artifact, matching the same bug as 2SA 7:28. Should render cleanly as GOI does elsewhere.","And I said, ""My Lord God, cease, I beg You; how can Jacob stand? For he is small."""
DAN,9,8,יְהוָ֗ה לָ֚נוּ בֹּ֣שֶׁת הַפָּנִ֔ים לִמְלָכֵ֥ינוּ לְשָׂרֵ֖ינוּ וְלַאֲבֹתֵ֑ינוּ אֲשֶׁ֥ר חָטָ֖אנוּ לָֽךְ,"O Lord, to us [belongeth] confusion of face, to our kings, to our princes, and to our fathers, because we have sinned against thee.","Jehovah, to us belongs the shame of face for our kings, for our rulers, and for our forefathers, because we have sinned against you.",no_edit,"GOI renders the WLC vocative (יְהוָה, direct address) as 'Jehovah, to us belongs...' — a bare-name address form consistent with GOI's convention (cf. 1SA 20:12), not a 3rd-person description. No 'funny' reading.",
DAN,9,15,וְעַתָּ֣ה אֲדֹנָ֣י אֱלֹהֵ֗ינוּ אֲשֶׁר֩ הוֹצֵ֨אתָ אֶֽת עַמְּךָ֜ מֵאֶ֤רֶץ מִצְרַ֨יִם֙ בְּיָ֣ד חֲזָקָ֔ה וַתַּֽעַשׂ לְךָ֥ שֵׁ֖ם כַּיּ֣וֹם הַזֶּ֑ה חָטָ֖אנוּ רָשָֽׁעְנוּ,"And now, O Lord our God, that hast brought thy people forth out of the land of Egypt with a mighty hand, and hast gotten thee renown, as at this day; we have sinned, we have done wickedly.","And now, (my) Lord, God (gods) our, who brought your folk out from land Egypt by force strong, and made for yourself renown as at this day, we have sinned, we have done wickedly.",edit,"GOI text is garbled with unresolved placeholder artifacts: literal '(my)', '(gods)' out of order ('God (gods) our'), plus a broken calque 'out from land Egypt by force strong'. WLC/KJV: 'O Lord our God ... out of the land of Egypt with a mighty hand'.","And now, my Lord our God, who brought your people out of the land of Egypt with a strong hand, and made for yourself renown as at this day, we have sinned, we have done wickedly."
DAN,9,16,אֲדֹנָ֗י כְּכָל צִדְקֹתֶ֨ךָ֙ יָֽשָׁב נָ֤א אַפְּךָ֙ וַחֲמָ֣תְךָ֔ מֵעִֽירְךָ֥ יְרוּשָׁלִַ֖ם הַר קָדְשֶׁ֑ךָ כִּ֤י בַחֲטָאֵ֨ינוּ֙ וּבַעֲוֺנ֣וֹת אֲבֹתֵ֔ינוּ יְרוּשָׁלִַ֧ם וְעַמְּךָ֛ לְחֶרְפָּ֖ה לְכָל סְבִיבֹתֵֽינוּ,"O Lord, according to all thy righteousness, I beseech thee, let thine anger and thy fury be turned away from thy city Jerusalem, thy holy mountain: because for our sins, and for the iniquities of our fathers, Jerusalem and thy people [are become] a reproach to all [that are] about us.","My Lord, according to all Your righteousness, let Your anger and Your wrath turn back from Your city Jerusalem, Your holy mountain; for because of our sins and the iniquities of our fathers, Jerusalem and Your people have become a reproach to all who are around us.",no_edit,"GOI's 'My Lord, according to all Your righteousness...' opens as direct address consistent with GOI's convention elsewhere (bare 'My Lord' + 2nd person throughout). No artifacts, no 'funny' reading.",
DAN,9,19,אֲדֹנָ֤י שְׁמָ֨עָה֙ אֲדֹנָ֣י סְלָ֔חָה אֲדֹנָ֛י הַֽקֲשִׁ֥יבָה וַעֲשֵׂ֖ה אַל תְּאַחַ֑ר לְמַֽעֲנְךָ֣ אֱלֹהַ֔י כִּֽי שִׁמְךָ֣ נִקְרָ֔א עַל עִירְךָ֖ וְעַל עַמֶּֽךָ,"O Lord, hear; O Lord, forgive; O Lord, hearken and do; defer not, for thine own sake, O my God: for thy city and thy people are called by thy name.","(my) Lord, hear (my) Lord, forgive (my) Lord, listen and act; do not delay for your sake, God, because your name is called upon your city and upon your people.",edit,"GOI text repeats the same unresolved '(my)' placeholder artifact three times ('(my) Lord, hear (my) Lord, forgive (my) Lord...') and drops the closing vocative 'O my God' (WLC אֱלֹהַי), ending flatly with bare 'God'.","My Lord, hear; My Lord, forgive; My Lord, listen and act; do not delay for your own sake, my God, because your name is called upon your city and upon your people."
DEU,3,24,אֲדֹנָ֣י יְהוִ֗ה אַתָּ֤ה הַֽחִלּ֨וֹתָ֙ לְהַרְא֣וֹת אֶֽת עַבְדְּךָ֔ אֶ֨ת גָּדְלְךָ֔ וְאֶת יָדְךָ֖ הַחֲזָקָ֑ה אֲשֶׁ֤ר מִי אֵל֙ בַּשָּׁמַ֣יִם וּבָאָ֔רֶץ אֲשֶׁר יַעֲשֶׂ֥ה כְמַעֲשֶׂ֖יךָ וְכִגְבוּרֹתֶֽךָ,"O Lord GOD, thou hast begun to shew thy servant thy greatness, and thy mighty hand: for what God [is there] in heaven or in earth, that can do according to thy works, and according to thy might?","(my) Lord God, you have begun to show to your servant your greatness and your strong hand, for which God in the heavens or on the earth is able to do according to your deeds and your mighty acts?",edit,"Genuine vocative prayer (Moses, 'O Lord GOD, thou hast begun...'). GOI contains a literal, unresolved '(my)' placeholder artifact before 'Lord God' — same bug pattern as Deut/Dan/Amos rows in batch 1.","My Lord God, you have begun to show to your servant your greatness and your strong hand, for which God in the heavens or on the earth is able to do according to your deeds and your mighty acts?"
EXO,16,3,וַיֹּאמְר֨וּ אֲלֵהֶ֜ם בְּנֵ֣י יִשְׂרָאֵ֗ל מִֽי יִתֵּ֨ן מוּתֵ֤נוּ בְיַד יְהוָה֙ בְּאֶ֣רֶץ מִצְרַ֔יִם בְּשִׁבְתֵּ֨נוּ֙ עַל סִ֣יר הַבָּשָׂ֔ר בְּאָכְלֵ֥נוּ לֶ֖חֶם לָשֹׂ֑בַע כִּֽי הוֹצֵאתֶ֤ם אֹתָ֨נוּ֙ אֶל הַמִּדְבָּ֣ר הַזֶּ֔ה לְהָמִ֛ית אֶת כָּל הַקָּהָ֥ל הַזֶּ֖ה בָּרָעָֽב,"And the children of Israel said unto them, Would to God we had died by the hand of the LORD in the land of Egypt, when we sat by the flesh pots, [and] when we did eat bread to the full; for ye have brought us forth into this wilderness, to kill this whole assembly with hunger.","The sons of Israel said to them, Would that we had died by the hand of the LORD in the land of Egypt, as we sat by the fleshpots, eating bread to the full, for you have brought us out into this wilderness to kill all this congregation with famine.",no_edit,"False positive: KJV's 'Would to God' is an English idiom for 'would that' with no corresponding divine-name word in WLC at that point — not a vocative. Matched only via substring 'o God'. GOI's 'Would that' is a correct, idiom-neutral rendering.",
EXO,34,9,וַיֹּ֡אמֶר אִם נָא֩ מָצָ֨אתִי חֵ֤ן בְּעֵינֶ֨יךָ֙ אֲדֹנָ֔י יֵֽלֶךְ נָ֥א אֲדֹנָ֖י בְּקִרְבֵּ֑נוּ כִּ֤י עַם קְשֵׁה עֹ֨רֶף֙ ה֔וּא וְסָלַחְתָּ֛ לַעֲוֺנֵ֥נוּ וּלְחַטָּאתֵ֖נוּ וּנְחַלְתָּֽנוּ,"And he said, If now I have found grace in thy sight, O Lord, let my Lord, I pray thee, go among us; for it [is] a stiffnecked people; and pardon our iniquity and our sin, and take us for thine inheritance.","And he said, If now I have found favour in your eyes, my Lord, let my Lord go, I pray, in the midst of us, for it is a stiff-necked people, and pardon our iniquity and our sin, and take us for your inheritance.",no_edit,"GOI already renders WLC's first Adonai vocative as direct address ('my Lord, let my Lord go...'), consistent with GOI's convention elsewhere (Gen 32:9 etc). No 'funny' reading.",
EZK,28,9,הֶאָמֹ֤ר תֹּאמַר֙ אֱלֹהִ֣ים אָ֔נִי לִפְנֵ֖י הֹֽרְגֶ֑ךָ וְאַתָּ֥ה אָדָ֛ם וְלֹא אֵ֖ל בְּיַ֥ד מְחַלְלֶֽיךָ,"Wilt thou yet say before him that slayeth thee, I [am] God? but thou [shalt be] a man, and no God, in the hand of him that slayeth thee.","You say, ""I am God"" before your killer, but you are a man and not a god in the hand of those who pierce you.",no_edit,"False positive: 'I am God'/'no God' is the king of Tyre's blasphemous 3rd-person self-claim, not an address to YHWH. Matched only via substring 'o God' in 'no God'.",
EZR,9,15,יְהוָ֞ה אֱלֹהֵ֤י יִשְׂרָאֵל֙ צַדִּ֣יק אַ֔תָּה כִּֽי נִשְׁאַ֥רְנוּ פְלֵיטָ֖ה כְּהַיּ֣וֹם הַזֶּ֑ה הִנְנ֤וּ לְפָנֶ֨יךָ֙ בְּאַשְׁמָתֵ֔ינוּ כִּ֣י אֵ֥ין לַעֲמ֛וֹד לְפָנֶ֖יךָ עַל זֹֽאת,"O LORD God of Israel, thou [art] righteous: for we remain yet escaped, as [it is] this day: behold, we [are] before thee in our trespasses: for we cannot stand before thee because of this.","Jehovah, God of Israel, you are righteous, for we are left a remnant, as on this day; behold, we are before you in our guilt, for there is no standing before you because of this.",no_edit,"GOI renders the WLC vocative as bare-name address ('Jehovah, God of Israel, you are righteous...'), consistent with GOI's convention (cf. Dan 9:8, 1Sa 20:12). No 'funny' reading.",
GEN,1,27,וַיִּבְרָ֨א אֱלֹהִ֤ים אֶת הָֽאָדָם֙ בְּצַלְמ֔וֹ בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹת֑וֹ זָכָ֥ר וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם,"So God created man in his [own] image, in the image of God created he him; male and female created he them.","God created the human in his image, in the image of God he created him, male and female he created them.",no_edit,"False positive: 'So God created man' is 3rd-person narration, not address. Matched only via substring 'o God' in 'So God'.",
GEN,32,9,וַיֹּאמֶר֮ יַעֲקֹב֒ אֱלֹהֵי֙ אָבִ֣י אַבְרָהָ֔ם וֵאלֹהֵ֖י אָבִ֣י יִצְחָ֑ק יְהוָ֞ה הָאֹמֵ֣ר אֵלַ֗י שׁ֧וּב לְאַרְצְךָ֛ וּלְמוֹלַדְתְּךָ֖ וְאֵיטִ֥יבָה עִמָּֽךְ,"And Jacob said, O God of my father Abraham, and God of my father Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well with thee:","Jacob said, ""God of my father Abraham and God of my father Isaac, the LORD who said to me, Return to your land and to your kindred, and I will deal well with you.""",no_edit,"GOI renders WLC's vocative as bare-name address ('God of my father Abraham and God of my father Isaac, the LORD who said to me...') followed correctly by 2nd person throughout the embedded quote. Consistent with GOI's convention, no person mismatch.",
GEN,40,8,וַיֹּאמְר֣וּ אֵלָ֔יו חֲל֣וֹם חָלַ֔מְנוּ וּפֹתֵ֖ר אֵ֣ין אֹת֑וֹ וַיֹּ֨אמֶר אֲלֵהֶ֜ם יוֹסֵ֗ף הֲל֤וֹא לֵֽאלֹהִים֙ פִּתְרֹנִ֔ים סַפְּרוּ נָ֖א לִֽי,"And they said unto him, We have dreamed a dream, and [there is] no interpreter of it. And Joseph said unto them, [Do] not interpretations [belong] to God? tell me [them], I pray you.","They said to him, ""We dreamed a dream, but there is no interpreter for it."" Then Joseph said to them, ""Are not interpretations from God? Please tell them to me.""",no_edit,"False positive: 'interpretations belong to God' is Joseph's 3rd-person rhetorical statement, not address. Matched only via substring 'o God' in 'to God'.",
HOS,13,4,וְאָנֹכִ֛י יְהוָ֥ה אֱלֹהֶ֖יךָ מֵאֶ֣רֶץ מִצְרָ֑יִם וֵאלֹהִ֤ים זֽוּלָתִי֙ לֹ֣א תֵדָ֔ע וּמוֹשִׁ֥יעַ אַ֖יִן בִּלְתִּֽי,"Yet I [am] the LORD thy God from the land of Egypt, and thou shalt know no god but me: for [there is] no saviour beside me.","I am the LORD your God from the land of Egypt, and besides me you shall not know a god, and there is no savior besides me.",no_edit,"False positive: God is the 1st-person speaker here ('I am the LORD your God'), not an addressee — no vocative applies. Matched only via substring 'o god' in 'no god'.",
ISA,25,1,יְהוָ֤ה אֱלֹהַי֙ אַתָּ֔ה אֲרֽוֹמִמְךָ֙ אוֹדֶ֣ה שִׁמְךָ֔ כִּ֥י עָשִׂ֖יתָ פֶּ֑לֶא עֵצ֥וֹת מֵֽרָח֖וֹק אֱמ֥וּנָה אֹֽמֶן,"O LORD, thou [art] my God; I will exalt thee, I will praise thy name; for thou hast done wonderful [things; thy] counsels of old [are] faithfulness [and] truth.","The LORD my God, you are exalted; I will praise your name, for you have done wonders, counsels from afar, faithfulness, truth.",no_edit,"GOI's 'The LORD my God, you are exalted...' is a vocative noun-phrase followed consistently by 2nd person ('you are', 'your name') — valid apposition/address, same construction accepted elsewhere (cf. 2Ki 19:15). No 'funny' reading.",
ISA,26,13,יְהוָ֣ה אֱלֹהֵ֔ינוּ בְּעָל֥וּנוּ אֲדֹנִ֖ים זֽוּלָתֶ֑ךָ לְבַד בְּךָ֖ נַזְכִּ֥יר שְׁמֶֽךָ,"O LORD our God, [other] lords beside thee have had dominion over us: [but] by thee only will we make mention of thy name.","Jehovah our God, lords besides you have ruled over us; only you we will remember by name.",no_edit,"GOI's 'Jehovah our God, lords besides you have ruled over us; only you...' is bare-name address followed consistently by 2nd person. Consistent with GOI's convention, no edit needed.",
ISA,37,16,יְהוָ֨ה צְבָא֜וֹת אֱלֹהֵ֤י יִשְׂרָאֵל֙ יֹשֵׁ֣ב הַכְּרֻבִ֔ים אַתָּה ה֤וּא הָֽאֱלֹהִים֙ לְבַדְּךָ֔ לְכֹ֖ל מַמְלְכ֣וֹת הָאָ֑רֶץ אַתָּ֣ה עָשִׂ֔יתָ אֶת הַשָּׁמַ֖יִם וְאֶת הָאָֽרֶץ,"O LORD of hosts, God of Israel, that dwellest [between] the cherubims, thou [art] the God, [even] thou alone, of all the kingdoms of the earth: thou hast made heaven and earth.","The LORD of hosts, the God of Israel, who is enthroned above the cherubim, you alone are God of all the kingdoms of the earth; you made the heavens and the earth.",no_edit,"Same construction/convention as 2Ki 19:15 (batch 1, no_edit): 'The LORD of hosts, the God of Israel, ... you alone are God ... you made...' — vocative apposition followed by consistent 2nd person.",
