queue,source_ref,mapped_target_refs,classification,strongs,canonical_label,expected_forms,mapped_english
24,NUM 17:22,NUM 17:7,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,NUM 17:7: Moses placed the rods before the LORD in the tent of the testimony.
25,NUM 17:22,NUM 17:7,mapped_pass,H4872,Môsheh,Moses,NUM 17:7: Moses placed the rods before the LORD in the tent of the testimony.
26,NUM 17:23,NUM 17:8,mapped_pass,H175,ʼAhărôwn,Aaron,"NUM 17:8: And it came to be on the next day that Moses entered the tent of the testimony, and behold, the rod of Aaron for the house of Levi had sprouted, and it brought forth a blossom, and it produced almonds."
27,NUM 17:23,NUM 17:8,mapped_pass,H3878,Lêvîy,Levi; See also,"NUM 17:8: And it came to be on the next day that Moses entered the tent of the testimony, and behold, the rod of Aaron for the house of Levi had sprouted, and it brought forth a blossom, and it produced almonds."
28,NUM 17:23,NUM 17:8,mapped_pass,H4872,Môsheh,Moses,"NUM 17:8: And it came to be on the next day that Moses entered the tent of the testimony, and behold, the rod of Aaron for the house of Levi had sprouted, and it brought forth a blossom, and it produced almonds."
29,NUM 17:24,NUM 17:9,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"NUM 17:9: Moses brought out all the rods from before the LORD to all the children of Israel, and they saw and took each man his rod."
30,NUM 17:24,NUM 17:9,mapped_pass,H3478,Yisrâʼêl,Israel,"NUM 17:9: Moses brought out all the rods from before the LORD to all the children of Israel, and they saw and took each man his rod."
31,NUM 17:24,NUM 17:9,mapped_pass,H4872,Môsheh,Moses,"NUM 17:9: Moses brought out all the rods from before the LORD to all the children of Israel, and they saw and took each man his rod."
32,NUM 17:25,NUM 17:10,mapped_pass,H175,ʼAhărôwn,Aaron,"NUM 17:10: The LORD said to Moses, Return the rod of Aaron before the testimony for a charge, as a sign against the rebellious children, that their murmuring may cease from me, so that they do not die."
33,NUM 17:25,NUM 17:10,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"NUM 17:10: The LORD said to Moses, Return the rod of Aaron before the testimony for a charge, as a sign against the rebellious children, that their murmuring may cease from me, so that they do not die."
34,NUM 17:25,NUM 17:10,mapped_pass,H4872,Môsheh,Moses,"NUM 17:10: The LORD said to Moses, Return the rod of Aaron before the testimony for a charge, as a sign against the rebellious children, that their murmuring may cease from me, so that they do not die."
35,NUM 17:26,NUM 17:11,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"NUM 17:11: Moses did as Jehovah, the Lord, commanded him; thus he did."
36,NUM 17:26,NUM 17:11,mapped_pass,H4872,Môsheh,Moses,"NUM 17:11: Moses did as Jehovah, the Lord, commanded him; thus he did."
37,NUM 17:27,NUM 17:12,mapped_pass,H3478,Yisrâʼêl,Israel,"NUM 17:12: The sons of Israel said to Moses, saying, Behold, we are perishing, we are all undone, we are all undone."
38,NUM 17:27,NUM 17:12,mapped_pass,H4872,Môsheh,Moses,"NUM 17:12: The sons of Israel said to Moses, saying, Behold, we are perishing, we are all undone, we are all undone."
39,NUM 17:28,NUM 17:13,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,NUM 17:13: Every one who comes near to the dwelling place of the LORD shall die; will you indeed be consumed?
40,NUM 30:17,NUM 30:16,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"NUM 30:16: These are the statutes that the LORD commanded Moses between a man and his wife, between a father and his daughter in her youth in her father's house."
41,NUM 30:17,NUM 30:16,mapped_pass,H4872,Môsheh,Moses,"NUM 30:16: These are the statutes that the LORD commanded Moses between a man and his wife, between a father and his daughter in her youth in her father's house."
42,DEU 13:19,DEU 13:18,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,DEU 13:18: If you listen to the voice of the LORD your God to keep all his commandments that I am commanding you today to do what is right in the eyes of the LORD your God
43,DEU 13:19,DEU 13:18,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,DEU 13:18: If you listen to the voice of the LORD your God to keep all his commandments that I am commanding you today to do what is right in the eyes of the LORD your God
44,DEU 13:19,DEU 13:18,mapped_pass,H430,ʼĕlôhîym,angels; God; judges,DEU 13:18: If you listen to the voice of the LORD your God to keep all his commandments that I am commanding you today to do what is right in the eyes of the LORD your God
45,DEU 13:19,DEU 13:18,mapped_pass,H430,ʼĕlôhîym,angels; God; judges,DEU 13:18: If you listen to the voice of the LORD your God to keep all his commandments that I am commanding you today to do what is right in the eyes of the LORD your God
46,DEU 28:69,DEU 29:1,mapped_pass,H2722,Chôrêb,Horeb,"DEU 29:1: These are the words of the covenant that the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant that he made with them in Horeb."
47,DEU 28:69,DEU 29:1,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"DEU 29:1: These are the words of the covenant that the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant that he made with them in Horeb."
48,DEU 28:69,DEU 29:1,mapped_pass,H3478,Yisrâʼêl,Israel,"DEU 29:1: These are the words of the covenant that the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant that he made with them in Horeb."
49,DEU 28:69,DEU 29:1,mapped_pass,H4124,Môwʼâb,Moab,"DEU 29:1: These are the words of the covenant that the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant that he made with them in Horeb."
50,DEU 28:69,DEU 29:1,mapped_pass,H4872,Môsheh,Moses,"DEU 29:1: These are the words of the covenant that the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant that he made with them in Horeb."
