timestamp,version,book,chapter,verse,apparatus_type,content,dry_run
2026-05-17T17:15:26.366380,WLC,PSA,19,15,SUPERSCRIPTION,יִֽהְי לְרָצ֨וֹן ׀ אִמְרֵי־ פִ֡י וְהֶגְי֣וֹן לִבִּ֣י לְפָנֶ֑יךָ יְ֝הוָ֗ה צוּרִ֥י,False
2026-05-17T17:15:26.366404,WLC,PSA,20,10,SUPERSCRIPTION,יְהוָ֥ה הוֹשִׁ֑יעָה הַ֝מֶּ֗לֶךְ יַעֲנֵ֥נוּ בְיוֹם־ קָרְאֵֽנוּ׃,False
2026-05-17T17:15:26.366433,WLC,PSA,21,14,SUPERSCRIPTION,ר֣וּמָה יְהוָ֣ה בְּעֻזֶּ֑ךָ נָשִׁ֥ירָה וּֽ֝נְזַמְּרָה גְּבוּרָתֶֽךָ׃,False
2026-05-17T17:15:26.366457,WLC,PSA,22,32,SUPERSCRIPTION,יָ֭בֹאוּ וְיַגִּ֣ידוּ צִדְקָת֑וֹ לְעַ֥ם נ֝וֹלָ֗ד כִּ֣י עָשָֽׂה׃,False
2026-05-17T17:15:26.366481,WLC,PSA,30,13,SUPERSCRIPTION,לְמַ֤עַן ׀ יְזַמֶּרְךָ֣ כָ֭בוֹד וְלֹ֣א יִדֹּ֑ם יְהוָ֥ה אֱ֝לֹהַ֗י לְעוֹלָ֥ם אוֹדֶ,False
2026-05-17T17:15:26.366505,WLC,PSA,31,25,SUPERSCRIPTION,חִ֭זְקוּ וְיַאֲמֵ֣ץ לְבַבְכֶ֑ם כָּל־ הַ֝מְיַחֲלִ֗ים לַיהוָֽה׃,False
2026-05-17T17:15:26.366528,WLC,PSA,34,23,SUPERSCRIPTION,פּוֹדֶ֣ה יְ֭הוָה נֶ֣פֶשׁ עֲבָדָ֑יו וְלֹ֥א יֶ֝אְשְׁמ֗וּ כָּֽל־ הַחֹסִ֥ים בּֽוֹ׃,False
2026-05-17T17:15:26.366551,WLC,PSA,36,13,SUPERSCRIPTION,שָׁ֣ם נָ֭פְלוּ פֹּ֣עֲלֵי אָ֑וֶן דֹּ֝ח֗וּ וְלֹא־ יָ֥כְלוּ קֽוּם׃,False
2026-05-17T17:15:26.366575,WLC,PSA,38,23,SUPERSCRIPTION,ח֥וּשָׁה לְעֶזְרָתִ֑י אֲ֝דֹנָ֗י תְּשׁוּעָתִֽי׃,False
2026-05-17T17:15:26.366597,WLC,PSA,39,14,SUPERSCRIPTION,הָשַׁ֣ע מִמֶּ֣נִּי וְאַבְלִ֑יגָה בְּטֶ֖רֶם אֵלֵ֣ךְ וְאֵינֶֽנִּי׃,False
2026-05-17T17:15:26.366621,WLC,PSA,40,18,SUPERSCRIPTION,וַאֲנִ֤י ׀ עָנִ֣י וְאֶבְיוֹן֮ אֲדֹנָ֢י יַחֲשָׁ֫ב לִ֥י עֶזְרָתִ֣י וּמְפַלְטִ֣י אַ,False
2026-05-17T17:15:26.366644,WLC,PSA,41,14,SUPERSCRIPTION,בָּ֘ר֤וּךְ יְהוָ֨ה ׀ אֱלֹ֘הֵ֤י יִשְׂרָאֵ֗ל מֵֽ֭הָעוֹלָם וְעַ֥ד הָעוֹלָ֗ם אָ֘מֵ֥ן,False
2026-05-17T17:15:26.366667,WLC,PSA,42,12,SUPERSCRIPTION,מַה־ תִּשְׁתּ֬וֹחֲחִ֨י ׀ נַפְשִׁי֮ וּֽמַה־ תֶּהֱמִ֢י עָ֫לָ֥י הוֹחִ֣ילִי לֽ͏ֵ֭אלֹ,False
2026-05-17T17:15:26.366690,WLC,PSA,44,27,SUPERSCRIPTION,ק֭וּמָֽה עֶזְרָ֣תָה לָּ֑נוּ וּ֝פְדֵ֗נוּ לְמַ֣עַן חַסְדֶּֽךָ׃,False
2026-05-17T17:15:26.366713,WLC,PSA,45,18,SUPERSCRIPTION,אַזְכִּ֣ירָה שִׁ֭מְךָ בְּכָל־ דֹּ֣ר וָדֹ֑ר עַל־ כֵּ֥ן עַמִּ֥ים יְ֝הוֹדֻ֗ךָ לְעֹל,False
2026-05-17T17:15:26.366735,WLC,PSA,46,12,SUPERSCRIPTION,יְהוָ֣ה צְבָא֣וֹת עִמָּ֑נוּ מִשְׂגָּֽב־ לָ֝נוּ אֱלֹהֵ֖י יַעֲקֹ֣ב סֶֽלָה׃,False
2026-05-17T17:15:26.366758,WLC,PSA,47,10,SUPERSCRIPTION,נְדִ֘יבֵ֤י עַמִּ֨ים ׀ נֶאֱסָ֗פוּ עַם֮ אֱלֹהֵ֢י אַבְרָ֫הָ֥ם כִּ֣י לֵֽ֭אלֹהִים מָֽ,False
2026-05-17T17:15:26.366783,WLC,PSA,48,15,SUPERSCRIPTION,כִּ֤י זֶ֨ה ׀ אֱלֹהִ֣ים אֱ֭לֹהֵינוּ עוֹלָ֣ם וָעֶ֑ד ה֖וּא יְנַהֲגֵ֣נוּ עַל־ מֽוּת׃,False
2026-05-17T17:15:26.366806,WLC,PSA,49,21,SUPERSCRIPTION,אָדָ֣ם בִּ֭יקָר וְלֹ֣א יָבִ֑ין נִמְשַׁ֖ל כַּבְּהֵמ֣וֹת נִדְמֽוּ׃,False
2026-05-17T17:15:26.366840,WLC,PSA,51,20,SUPERSCRIPTION,הֵיטִ֣יבָה בִ֭רְצוֹנְךָ אֶת־ צִיּ֑וֹן תִּ֝בְנֶ֗ה חוֹמ֥וֹת יְרוּשָׁלָֽ͏ִם׃,False
2026-05-17T17:15:26.366866,WLC,PSA,51,21,SUPERSCRIPTION,אָ֤ז תַּחְפֹּ֣ץ זִבְחֵי־ צֶ֭דֶק עוֹלָ֣ה וְכָלִ֑יל אָ֤ז יַעֲל֖וּ עַל־ מִזְבַּחֲךָ,False
2026-05-17T17:15:26.366889,WLC,PSA,52,10,SUPERSCRIPTION,וַאֲנִ֤י ׀ כְּזַ֣יִת רַ֭עֲנָן בְּבֵ֣ית אֱלֹהִ֑ים בָּטַ֥חְתִּי בְחֶֽסֶד־ אֱ֝לֹהִ֗,False
2026-05-17T17:15:26.366912,WLC,PSA,52,11,SUPERSCRIPTION,אוֹדְךָ֣ לְ֭עוֹלָם כִּ֣י עָשִׂ֑יתָ וַאֲקַוֶּ֥ה שִׁמְךָ֥ כִֽי־ ט֝֗וֹב נֶ֣גֶד חֲסִ,False
2026-05-17T17:15:26.366935,WLC,PSA,53,7,SUPERSCRIPTION,מִ֥י יִתֵּ֣ן מִצִיּוֹן֮ יְשֻׁע֢וֹת יִשְׂרָ֫אֵ֥ל בְּשׁ֣וּב אֱ֭לֹהִים שְׁב֣וּת עַמ,False
2026-05-17T17:15:26.366957,WLC,PSA,54,8,SUPERSCRIPTION,בִּנְדָבָ֥ה אֶזְבְּחָה־ לָּ֑ךְ א֤וֹדֶה שִּׁמְךָ֖ יְהוָ֣ה כִּי־ טֽוֹב׃,False
2026-05-17T17:15:26.366979,WLC,PSA,54,9,SUPERSCRIPTION,כִּ֣י מִכָּל־ צָ֭רָה הִצִּילָ֑נִי וּ֝בְאֹיְבַ֗י רָאֲתָ֥ה עֵינִֽי׃,False
2026-05-17T17:15:26.367002,WLC,PSA,55,24,SUPERSCRIPTION,וְאַתָּ֤ה אֱלֹהִ֨ים ׀ תּוֹרִדֵ֬ם ׀ לִבְאֵ֬ר שַׁ֗חַת אַנְשֵׁ֤י דָמִ֣ים וּ֖ לֹא־ י,False
2026-05-17T17:15:26.367025,WLC,PSA,56,14,SUPERSCRIPTION,כִּ֤י הִצַּ֪לְתָּ נַפְשִׁ֡י מִמָּוֶת֮ הֲלֹ֥א רַגְלַ֗י מִ֫דֶּ֥חִי לְ֭הִֽתְהַלֵּךְ,False
2026-05-17T17:15:26.367048,WLC,PSA,57,12,SUPERSCRIPTION,ר֣וּמָה עַל־ שָׁמַ֣יִם אֱלֹהִ֑ים עַ֖ל כָּל־ הָאָ֣רֶץ כְּבוֹדֶֽךָ׃,False
2026-05-17T17:15:26.367070,WLC,PSA,58,12,SUPERSCRIPTION,וְיֹאמַ֣ר אָ֭דָם אַךְ־ פְּרִ֣י לַצַּדִּ֑יק אַ֥ךְ יֵשׁ־ אֱ֝לֹהִ֗ים שֹׁפְטִ֥ים בָּ,False
2026-05-17T17:15:26.367092,WLC,PSA,59,18,SUPERSCRIPTION,עֻ֭זִּי אֵלֶ֣יךָ אֲזַמֵּ֑רָה כִּֽי־ אֱלֹהִ֥ים מִ֝שְׂגַּבִּ֗י אֱלֹהֵ֥י חַסְדִּֽי׃,False
2026-05-17T17:15:26.367115,WLC,PSA,60,13,SUPERSCRIPTION,הָֽבָה־ לָּ֣נוּ עֶזְרָ֣ת מִצָּ֑ר וְ֝שָׁ֗וְא תְּשׁוּעַ֥ת אָדָם׃,False
2026-05-17T17:15:26.367137,WLC,PSA,60,14,SUPERSCRIPTION,בֵּֽאלֹהִ֥ים נַעֲשֶׂה־ חָ֑יִל וְ֝ה֗וּא יָב֥וּס צָרֵֽינוּ׃,False
2026-05-17T17:15:26.367159,WLC,PSA,61,9,SUPERSCRIPTION,כֵּ֤ן אֲזַמְּרָ֣ה שִׁמְךָ֣ לָעַ֑ד לְֽשַׁלְּמִ֥י נְ֝דָרַ֗י י֣וֹם ׀ יֽוֹם׃,False
2026-05-17T17:15:26.367184,WLC,PSA,62,13,SUPERSCRIPTION,וּלְךָֽ־ אֲדֹנָ֥י חָ֑סֶד כִּֽי־ אַתָּ֨ה תְשַׁלֵּ֖ם לְאִ֣ישׁ כְּֽמַעֲשֵֽׂהוּ׃,False
2026-05-17T17:15:26.367207,WLC,PSA,63,12,SUPERSCRIPTION,וְהַמֶּלֶךְ֮ יִשְׂמַ֢ח בֵּאלֹ֫הִ֥ים יִ֭תְהַלֵּל כָּל־ הַנִּשְׁבָּ֣ע בּ֑וֹ כִּ֥י ,False
2026-05-17T17:15:26.367230,WLC,PSA,64,11,SUPERSCRIPTION,יִשְׂמַ֬ח צַדִּ֣יק בַּ֭יהוָה וְחָ֣סָה ב֑וֹ וְ֝יִתְהַֽלְל֗וּ כָּל־ יִשְׁרֵי־ לֵֽב,False
2026-05-17T17:15:26.367254,WLC,PSA,65,14,SUPERSCRIPTION,לָבְשׁ֬וּ כָרִ֨ים ׀ הַצֹּ֗אן וַעֲמָקִ֥ים יַֽעַטְפוּ־ בָ֑ר יִ֝תְרוֹעֲע֗וּ אַף־ יָ,False
2026-05-17T17:15:26.367277,WLC,PSA,67,8,SUPERSCRIPTION,יְבָרְכֵ֥נוּ אֱלֹהִ֑ים וְיִֽירְא֥וּ אֹ֝ת֗וֹ כָּל־ אַפְסֵי־ אָֽרֶץ׃,False
2026-05-17T17:15:26.367300,WLC,PSA,68,36,SUPERSCRIPTION,נ֤וֹרָ֥א אֱלֹהִ֗ים מִֽמִּקְדָּ֫שֶׁ֥יךָ אֵ֤ל יִשְׂרָאֵ֗ל ה֤וּא נֹתֵ֨ן ׀ עֹ֖ז וְתַ,False
2026-05-17T17:15:26.367322,WLC,PSA,69,37,SUPERSCRIPTION,וְזֶ֣רַע עֲ֭בָדָיו יִנְחָל֑וּהָ וְאֹהֲבֵ֥י שְׁ֝מ֗וֹ יִשְׁכְּנוּ־ בָֽהּ׃,False
2026-05-17T17:15:26.367344,WLC,PSA,70,6,SUPERSCRIPTION,וַאֲנִ֤י ׀ עָנִ֣י וְאֶבְיוֹן֮ אֱלֹהִ֢ים חֽוּשָׁ֫ה־ לִּ֥י עֶזְרִ֣י וּמְפַלְטִ֣י א,False
2026-05-17T17:15:26.367367,WLC,PSA,75,11,SUPERSCRIPTION,וְכָל־ קַרְנֵ֣י רְשָׁעִ֣ים אֲגַדֵּ֑עַ תְּ֝רוֹמַ֗מְנָה קַֽרְנ֥וֹת צַדִּֽ֥,False
2026-05-17T17:15:26.367389,WLC,PSA,76,13,SUPERSCRIPTION,יִ֭בְצֹר ר֣וּחַ נְגִידִ֑ים נ֝וֹרָ֗א לְמַלְכֵי־ אָֽרֶץ׃,False
2026-05-17T17:15:26.367413,WLC,PSA,77,21,SUPERSCRIPTION,נָחִ֣יתָ כַצֹּ֣אן עַמֶּ֑ךָ בְּֽיַד־ מֹשֶׁ֥ה וְאַהֲרֹֽן׃,False
2026-05-17T17:15:26.367435,WLC,PSA,80,20,SUPERSCRIPTION,יְה֘וָ֤ה אֱלֹהִ֣ים צְבָא֣וֹת הֲשִׁיבֵ֑נוּ הָאֵ֥ר פָּ֝נֶ֗יךָ וְנִוָּשֵֽׁעָה׃,False
2026-05-17T17:15:26.367457,WLC,PSA,81,17,SUPERSCRIPTION,וֽ͏ַ֭יַּאֲכִילֵהוּ מֵחֵ֣לֶב חִטָּ֑ה וּ֝מִצּ֗וּר דְּבַ֣שׁ אַשְׂבִּיעֶֽךָ׃,False
2026-05-17T17:15:26.367480,WLC,PSA,83,19,SUPERSCRIPTION,וְֽיֵדְע֗וּ כִּֽי־ אַתָּ֬ה שִׁמְךָ֣ יְהוָ֣ה לְבַדֶּ֑ךָ עֶ֝לְי֗וֹן עַל־ כָּל־ הָא,False
2026-05-17T17:15:26.367502,WLC,PSA,84,13,SUPERSCRIPTION,יְהוָ֥ה צְבָא֑וֹת אַֽשְׁרֵ֥י אָ֝דָ֗ם בֹּטֵ֥חַ בָּֽךְ׃,False
2026-05-17T17:15:26.367525,WLC,PSA,85,14,SUPERSCRIPTION,צֶ֭דֶק לְפָנָ֣יו יְהַלֵּ֑ךְ וְיָשֵׂ֖ם לְדֶ֣רֶךְ פְּעָמָֽיו׃,False
2026-05-17T17:15:26.367547,WLC,PSA,88,19,SUPERSCRIPTION,הִרְחַ֣קְתָּ מִ֭מֶּנִּי אֹהֵ֣ב וָרֵ֑עַ מְֽיֻדָּעַ֥י מַחְשָֽׁךְ׃,False
2026-05-17T17:15:26.367571,WLC,PSA,89,53,SUPERSCRIPTION,בָּר֖וּךְ יְהוָ֥ה לְ֝עוֹלָ֗ם אָ֘מֵ֥ן ׀ וְאָמֵֽן׃,False
2026-05-17T17:15:26.367594,WLC,PSA,92,16,SUPERSCRIPTION,לְ֭הַגִּיד כִּֽי־ יָשָׁ֣ר יְהוָ֑ה צ֝וּרִ֗י וְֽלֹא־ בּֽוֹ׃,False
2026-05-17T17:15:26.367617,WLC,PSA,102,29,SUPERSCRIPTION,בְּנֵֽי־ עֲבָדֶ֥יךָ יִשְׁכּ֑וֹנוּ וְ֝זַרְעָ֗ם לְפָנֶ֥יךָ יִכּֽוֹן׃,False
2026-05-17T17:15:26.367640,WLC,PSA,108,14,SUPERSCRIPTION,בֵּֽאלֹהִ֥ים נַעֲשֶׂה־ חָ֑יִל וְ֝ה֗וּא יָב֥וּס צָרֵֽינוּ׃,False
2026-05-17T17:15:26.367662,WLC,PSA,140,14,SUPERSCRIPTION,אַ֣ךְ צַ֭דִּיקִים יוֹד֣וּ לִשְׁמֶ֑ךָ יֵשְׁב֥וּ יְ֝שָׁרִ֗ים אֶת־ פָּנֶֽיךָ׃,False
2026-05-17T17:15:26.367685,WLC,PSA,142,8,SUPERSCRIPTION,ה֘וֹצִ֤יאָה מִמַּסְגֵּ֨ר ׀ נַפְשִׁי֮ לְהוֹד֢וֹת אֶת־ שְׁ֫מֶ֥ךָ בִּ֭י יַכְתִּ֣רוּ,False
