testament,strongs,default_rendering,occurrences,lsg_contains_default,agreement
NT,G1067,enfer,12,0,0.000
NT,G1388,tromperie,12,0,0.000
NT,G2746,glorification,12,0,0.000
NT,G3094,Magdalène,12,0,0.000
NT,G4286,proposition,12,0,0.000
NT,G4710,diligence,12,0,0.000
OT,H2101,écoulement,12,0,0.000
OT,H2487,vêtement de rechange,12,0,0.000
OT,H2605,Canan,12,0,0.000
OT,H2714,recherche,12,0,0.000
OT,H2742,traineau aigu,12,0,0.000
OT,H2874,massacre,12,0,0.000
OT,H4701,mitre,12,0,0.000
OT,H6003,Amalékite,12,0,0.000
NT,G1431,cadeau,11,0,0.000
NT,G2469,Iscariote,11,0,0.000
NT,G3725,frontière,11,0,0.000
OT,H1448,enclos,11,0,0.000
OT,H1496,pierre de taille,11,0,0.000
OT,H1625,cud,11,0,0.000
OT,H5200,Nethophathite,11,0,0.000
OT,H6290,Parân,11,0,0.000
OT,H632,lien,11,0,0.000
OT,H6603,gravure,11,0,0.000
OT,H7144,calvitie,11,0,0.000
OT,H7677,repos solennel,11,0,0.000
NT,G2844,partenaire,10,0,0.000
NT,G3623,intendant,10,0,0.000
NT,G4755,préteur,10,0,0.000
NT,G5266,sandale,10,0,0.000
OT,H1367,frontière,10,0,0.000
OT,H3504,profit,10,0,0.000
OT,H6501,onagre,10,0,0.000
OT,H6755,image,10,0,0.000
OT,H763,Aram-Naharaïm,10,0,0.000
OT,H8307,obstination,10,0,0.000
OT,H910,solitude,10,0,0.000
NT,G1106,opinion,9,0,0.000
NT,G2054,discorde,9,0,0.000
NT,G2794,danger,9,0,0.000
NT,G2801,fragment,9,0,0.000
NT,G5038,mur,9,0,0.000
NT,G752,chef de synagogue,9,0,0.000
OT,H2230,averse,9,0,0.000
OT,H3591,javeline,9,0,0.000
OT,H4340,corde,9,0,0.000
OT,H8191,plaisir,9,0,0.000
NT,G1025,nourrisson,8,0,0.000
NT,G2066,vêtement,8,0,0.000
NT,G3622,intendance,8,0,0.000
NT,G5034,vitesse,8,0,0.000
NT,G5236,excès,8,0,0.000
NT,G965,Bethléem,8,0,0.000
OT,H3158,Jizreélite,8,0,0.000
OT,H3535,agnelle,8,0,0.000
OT,H4241,subsistance,8,0,0.000
OT,H4303,mets délicats,8,0,0.000
OT,H4411,campement,8,0,0.000
OT,H4456,pluie tardive,8,0,0.000
OT,H4806,bêtes grasses,8,0,0.000
OT,H5459,trésor particulier,8,0,0.000
OT,H5627,rébellion,8,0,0.000
OT,H5957,éternité,8,0,0.000
OT,H6332,Pourim,8,0,0.000
OT,H6429,Philistie,8,0,0.000
OT,H7145,Korhites,8,0,0.000
OT,H7648,rassasiement,8,0,0.000
OT,H8322,sifflement,8,0,0.000
OT,H948,lin fin,8,0,0.000
NT,G1985,surveillant,7,0,0.000
NT,G2052,discorde,7,0,0.000
NT,G3417,mémoire,7,0,0.000
NT,G3418,tombeau,7,0,0.000
NT,G3781,débiteur,7,0,0.000
NT,G819,déshonneur,7,0,0.000
OT,H2113,objet d'effroi,7,0,0.000
OT,H234,mémorial,7,0,0.000
OT,H4808,querelle,7,0,0.000
OT,H4823,piétinement,7,0,0.000
OT,H4923,désolation,7,0,0.000
OT,H5063,fléau,7,0,0.000
OT,H5278,agrément,7,0,0.000
OT,H5692,galette,7,0,0.000
OT,H6443,rubis,7,0,0.000
OT,H6569,fiente,7,0,0.000
OT,H6953,l'Ecclésiaste,7,0,0.000
OT,H7147,opposition,7,0,0.000
OT,H830,tas de fumier,7,0,0.000
OT,H8333,chaîne,7,0,0.000
OT,H8336,lin fin,7,0,0.000
OT,H8458,stratagème,7,0,0.000
OT,H8639,sommeil profond,7,0,0.000
NT,G2214,controverse,6,0,0.000
NT,G2266,Hérodiade,6,0,0.000
NT,G2331,Thessalonien,6,0,0.000
NT,G2595,brin,6,0,0.000
NT,G2807,clé,6,0,0.000
NT,G3148,maladie,6,0,0.000
NT,G3667,ressemblance,6,0,0.000
NT,G3677,rêve,6,0,0.000
NT,G3809,discipline,6,0,0.000
NT,G4082,besace,6,0,0.000
NT,G4142,bateau,6,0,0.000
NT,G4163,faiseur,6,0,0.000
NT,G4348,pierre d'achoppement,6,0,0.000
NT,G4616,lin fin,6,0,0.000
OT,H1067,première-née,6,0,0.000
OT,H1807,Dalila,6,0,0.000
OT,H2531,vigne délicieuse,6,0,0.000
OT,H2625,chenille,6,0,0.000
OT,H2750,ardeur,6,0,0.000
OT,H3127,jeune branche,6,0,0.000
OT,H3785,sorcellerie,6,0,0.000
OT,H4093,connaissance,6,0,0.000
OT,H4114,renversement,6,0,0.000
OT,H4610,Montée des Scorpions,6,0,0.000
OT,H5450,fardeau,6,0,0.000
OT,H6531,rigueur,6,0,0.000
OT,H6728,bête du désert,6,0,0.000
OT,H6927,ancien état,6,0,0.000
OT,H7468,compagne,6,0,0.000
OT,H7654,satiété,6,0,0.000
OT,H7858,déluge,6,0,0.000
OT,H796,Ashdodites,6,0,0.000
NT,G1378,décret,5,0,0.000
NT,G1424,ouest,5,0,0.000
NT,G3454,mythe,5,0,0.000
NT,G3608,linges,5,0,0.000
NT,G3680,reproche,5,0,0.000
NT,G3834,fourberie,5,0,0.000
NT,G4047,possession,5,0,0.000
NT,G425,relâche,5,0,0.000
NT,G4411,place d'honneur,5,0,0.000
NT,G4615,moutarde,5,0,0.000
NT,G4711,panier,5,0,0.000
NT,G5475,bronze,5,0,0.000
NT,G735,Artémis,5,0,0.000
OT,H1552,contrée,5,0,0.000
OT,H1700,affaire,5,0,0.000
OT,H1843,connaissance,5,0,0.000
OT,H1927,majesté,5,0,0.000
OT,H2027,massacre,5,0,0.000
OT,H2028,tuerie,5,0,0.000
OT,H2073,habitation,5,0,0.000
OT,H2122,éclat,5,0,0.000
OT,H2457,scorie,5,0,0.000
OT,H2465,durée de vie,5,0,0.000
OT,H2496,roche,5,0,0.000
OT,H2537,Hamutal,5,0,0.000
OT,H2633,force,5,0,0.000
OT,H3159,Jizréélite,5,0,0.000
OT,H3215,hurlement,5,0,0.000
OT,H329,buisson d'épines,5,0,0.000
OT,H3675,compagnon,5,0,0.000
OT,H4212,pincettes,5,0,0.000
OT,H4488,maneh,5,0,0.000
OT,H5449,porteur,5,0,0.000
OT,H5675,au-delà,5,0,0.000
OT,H6069,d'Anathoth,5,0,0.000
OT,H6077,Ophel,5,0,0.000
OT,H6623,interprétation,5,0,0.000
OT,H667,petit d'oiseau,5,0,0.000
OT,H673,Éphratite,5,0,0.000
OT,H6826,revêtement,5,0,0.000
OT,H7698,petit du bétail,5,0,0.000
OT,H7747,Schuhite,5,0,0.000
OT,H8059,remise,5,0,0.000
OT,H8503,perfection,5,0,0.000
OT,H91,Agagite,5,0,0.000
NT,G1466,maîtrise de soi,4,0,0.000
NT,G2083,compagnon,4,0,0.000
NT,G22,célibataire,4,0,0.000
NT,G2271,tranquillité,4,0,0.000
NT,G2438,lanière,4,0,0.000
NT,G2814,branche,4,0,0.000
NT,G2933,possession,4,0,0.000
NT,G2934,bête,4,0,0.000
NT,G3126,mammon,4,0,0.000
NT,G3610,domestique,4,0,0.000
NT,G4136,assurance,4,0,0.000
NT,G4194,Pontius,4,0,0.000
NT,G4382,partialité,4,0,0.000
NT,G4505,ruelle,4,0,0.000
NT,G452,Annas,4,0,0.000
NT,G4765,moineau,4,0,0.000
NT,G4769,pilier,4,0,0.000
NT,G4791,compagnon,4,0,0.000
NT,G5336,mangeoire,4,0,0.000
NT,G5427,mentalité,4,0,0.000
NT,G5596,trempette,4,0,0.000
NT,G747,pionnier,4,0,0.000
NT,G759,épice,4,0,0.000
NT,G974,petit rouleau,4,0,0.000
OT,H1021,Beth-Haccerem,4,0,0.000
OT,H1030,Bethsémite,4,0,0.000
OT,H1044,Béth-Éked,4,0,0.000
OT,H1046,Beth-Palet,4,0,0.000
OT,H1142,Bené Jaakan,4,0,0.000
OT,H1372,calvitie,4,0,0.000
OT,H139,Adonisédek,4,0,0.000
OT,H1561,fiente,4,0,0.000
OT,H1608,Gaash,4,0,0.000
OT,H1610,lui-même,4,0,0.000
OT,H1630,Guérizim,4,0,0.000
OT,H1654,Guésem,4,0,0.000
OT,H174,bois d'aloès,4,0,0.000
OT,H1845,Deuel,4,0,0.000
OT,H1871,drachme,4,0,0.000
OT,H1902,méditation,4,0,0.000
OT,H1996,Hamogog,4,0,0.000
OT,H2047,Hatach,4,0,0.000
OT,H2238,Zéresh,4,0,0.000
OT,H2279,jonction,4,0,0.000
OT,H2366,Hushim,4,0,0.000
OT,H2367,Husham,4,0,0.000
OT,H2519,flatterie,4,0,0.000
OT,H2570,cinquième côte,4,0,0.000
OT,H2735,Hor-Hagidgad,4,0,0.000
OT,H2773,Horonaïm,4,0,0.000
OT,H2799,sculpture,4,0,0.000
OT,H2837,désir,4,0,0.000
OT,H2935,panier,4,0,0.000
OT,H2947,empan,4,0,0.000
OT,H2982,Jébus,4,0,0.000
OT,H3065,Jéhudi,4,0,0.000
OT,H3075,Jehozabad,4,0,0.000
OT,H3113,Joïakim,4,0,0.000
OT,H3136,Jozadak,4,0,0.000
OT,H3227,droite,4,0,0.000
OT,H3258,Jabets,4,0,0.000
OT,H3281,Jalam,4,0,0.000
OT,H3305,Joppa,4,0,0.000
OT,H3370,Jokshan,4,0,0.000
OT,H3437,Jashub,4,0,0.000
OT,H3440,Jisvi,4,0,0.000
OT,H3484,Jeschurun,4,0,0.000
OT,H3492,Jattir,4,0,0.000
OT,H3514,pesanteur,4,0,0.000
OT,H3610,mélange,4,0,0.000
OT,H3626,Kol-Chozé,4,0,0.000
OT,H3643,Kimbam,4,0,0.000
OT,H3864,Lubiens,4,0,0.000
OT,H392,Achzib,4,0,0.000
OT,H4109,traversée,4,0,0.000
OT,H4237,lumière,4,0,0.000
OT,H4314,Me-Zahab,4,0,0.000
OT,H4316,Micha,4,0,0.000
OT,H4320,Micaïa,4,0,0.000
OT,H4419,marin,4,0,0.000
OT,H4429,Melchisédek,4,0,0.000
OT,H4500,flèche,4,0,0.000
OT,H4524,contour,4,0,0.000
OT,H4532,Massah,4,0,0.000
OT,H4662,inspection,4,0,0.000
OT,H4693,forteresse,4,0,0.000
OT,H4846,fiel,4,0,0.000
OT,H4927,Mishma,4,0,0.000
OT,H4928,garde,4,0,0.000
OT,H5215,labour,4,0,0.000
OT,H5284,Naamathite,4,0,0.000
OT,H5298,Nepheg,4,0,0.000
OT,H5434,Seba,4,0,0.000
OT,H5442,fourré,4,0,0.000
OT,H5466,lin fin,4,0,0.000
OT,H5504,marchandise,4,0,0.000
OT,H5548,Salka,4,0,0.000
OT,H5748,orgue,4,0,0.000
OT,H5755,Ava,4,0,0.000
OT,H5852,Ataroth,4,0,0.000
OT,H5853,Ataroth-Addar,4,0,0.000
OT,H5863,Ije-Abarim,4,0,0.000
OT,H5939,ténèbres,4,0,0.000
OT,H594,fil à plomb,4,0,0.000
OT,H5963,Almondiblathaim,4,0,0.000
OT,H5972,peuples,4,0,0.000
OT,H5975,position,4,0,0.000
OT,H6090,chagrin,4,0,0.000
OT,H616,prisonnier,4,0,0.000
OT,H6170,plate-bande,4,0,0.000
OT,H6228,Ashan,4,0,0.000
OT,H6292,abomination,4,0,0.000
OT,H6380,Pochereth-Hatsebaïm,4,0,0.000
OT,H6427,horreur,4,0,0.000
OT,H6611,Pethachia,4,0,0.000
OT,H6621,soudainement,4,0,0.000
OT,H6734,franges,4,0,0.000
OT,H6777,tempes,4,0,0.000
OT,H6932,Kédémoth,4,0,0.000
OT,H6961,ligne,4,0,0.000
OT,H6978,mesure,4,0,0.000
OT,H7074,Kenizzite,4,0,0.000
OT,H7146,calvitie,4,0,0.000
OT,H7152,Kerioth,4,0,0.000
OT,H7168,lambeau,4,0,0.000
OT,H7211,Reaïa,4,0,0.000
OT,H7238,majesté,4,0,0.000
OT,H7239,dix mille,4,0,0.000
OT,H7248,Rab-Mag,4,0,0.000
OT,H7320,Romamti-Ézer,4,0,0.000
OT,H7404,trafic,4,0,0.000
OT,H7409,dromadaire,4,0,0.000
OT,H7445,chant de joie,4,0,0.000
OT,H746,Arioch,4,0,0.000
OT,H7574,genévrier,4,0,0.000
OT,H7687,Segu,4,0,0.000
OT,H7713,rangée,4,0,0.000
OT,H7791,mur,4,0,0.000
OT,H7802,Lis aux lis du témoignage,4,0,0.000
OT,H7843,destruction,4,0,0.000
OT,H7883,Sihor,4,0,0.000
OT,H7903,coucher,4,0,0.000
OT,H8007,Schalma,4,0,0.000
OT,H809,flacon,4,0,0.000
OT,H8114,Shemaria,4,0,0.000
OT,H8148,proverbe,4,0,0.000
OT,H8272,Sharezer,4,0,0.000
OT,H8424,tristesse,4,0,0.000
OT,H8443,abondance,4,0,0.000
OT,H8513,peine,4,0,0.000
OT,H8521,Tel-Harsha,4,0,0.000
OT,H8528,Tel-Melach,4,0,0.000
OT,H8562,purification,4,0,0.000
OT,H8622,retour de l'année,4,0,0.000
OT,H9,perte,4,0,0.000
OT,H92,faisceau,4,0,0.000
NT,G1038,tanneur,3,0,0.000
NT,G1117,charge,3,0,0.000
NT,G1191,"Understood. I will provide only the French rendering of the Greek lemma.

Dérbé",3,0,0.000
NT,G1243,différence,3,0,0.000
NT,G1290,diaspora,3,0,0.000
NT,G1413,potentat,3,0,0.000
NT,G1446,hébreu,3,0,0.000
NT,G155,demande,3,0,0.000
NT,G1668,plaie,3,0,0.000
NT,G1841,décès,3,0,0.000
NT,G2175,odeur agréable,3,0,0.000
NT,G2195,Zacchée,3,0,0.000
NT,G2279,son,3,0,0.000
NT,G2646,chambre d’hôtes,3,0,0.000
NT,G2742,chaleur brûlante,3,0,0.000
NT,G2760,centurion,3,0,0.000
NT,G2783,héraut,3,0,0.000
NT,G2824,région,3,0,0.000
NT,G2855,changeur d'argent,3,0,0.000
NT,G2911,précipice,3,0,0.000
NT,G2953,Cypriote,3,0,0.000
NT,G2970,débauche,3,0,0.000
NT,G2978,tempête,3,0,0.000
NT,G3016,lepton,3,0,0.000
NT,G3069,Lydda,3,0,0.000
NT,G3108,béatitude,3,0,0.000
NT,G3128,Manassès,3,0,0.000
NT,G3175,grands hommes,3,0,0.000
NT,G3178,ivresse,3,0,0.000
NT,G3422,mémorial,3,0,0.000
NT,G3508,Nephtali,3,0,0.000
NT,G3559,admonition,3,0,0.000
NT,G3567,chambre nuptiale,3,0,0.000
NT,G3722,petit matin,3,0,0.000
NT,G3786,profit,3,0,0.000
NT,G3833,armure,3,0,0.000
NT,G3976,entrave,3,0,0.000
NT,G4011,Perga,3,0,0.000
NT,G4109,tablette,3,0,0.000
NT,G4144,voyage,3,0,0.000
NT,G4213,boisson,3,0,0.000
NT,G4244,presbytérat,3,0,0.000
NT,G4451,épreuve de feu,3,0,0.000
NT,G4475,gifle,3,0,0.000
NT,G4511,flux,3,0,0.000
NT,G4597,mite,3,0,0.000
NT,G4611,Siloam,3,0,0.000
NT,G4627,bateau,3,0,0.000
NT,G4638,tabernacle,3,0,0.000
NT,G4641,dureté de cœur,3,0,0.000
NT,G4700,cendres,3,0,0.000
NT,G4803,dispute,3,0,0.000
NT,G4967,abattage,3,0,0.000
NT,G4997,sobriété,3,0,0.000
NT,G5058,bureau de péage,3,0,0.000
NT,G5084,garde,3,0,0.000
NT,G5161,Trophimus,3,0,0.000
NT,G5196,insulte,3,0,0.000
NT,G5280,remémoration,3,0,0.000
NT,G5329,Phares,3,0,0.000
NT,G5331,sorcellerie,3,0,0.000
NT,G5441,gardien,3,0,0.000
NT,G5586,pierre,3,0,0.000
NT,G724,extorsion,3,0,0.000
NT,G728,acompte,3,0,0.000
NT,G755,maître du festin,3,0,0.000
NT,G931,torture,3,0,0.000
NT,G967,Béthphagé,3,0,0.000
OT,H1228,cruche,3,0,0.000
OT,H1308,Bésor,3,0,0.000
OT,H1335,partie,3,0,0.000
OT,H1503,tige,3,0,0.000
OT,H1578,rétribution,3,0,0.000
OT,H1609,Gatham,3,0,0.000
OT,H1619,Guérèb,3,0,0.000
OT,H163,Achava,3,0,0.000
OT,H1665,Gittith,3,0,0.000
OT,H1694,jointure,3,0,0.000
OT,H1699,parole,3,0,0.000
OT,H1705,Daberath,3,0,0.000
OT,H18,mangeoire,3,0,0.000
OT,H180,rivière,3,0,0.000
OT,H1827,silence,3,0,0.000
OT,H1899,soupir,3,0,0.000
OT,H1983,coutume,3,0,0.000
OT,H2075,Zebulonites,3,0,0.000
OT,H2123,bête sauvage,3,0,0.000
OT,H2152,horreur,3,0,0.000
OT,H2155,Zimmah,3,0,0.000
OT,H2176,chant,3,0,0.000
OT,H2177,espèces,3,0,0.000
OT,H2249,Habor,3,0,0.000
OT,H2288,crevasse,3,0,0.000
OT,H2444,Hachila,3,0,0.000
OT,H2477,Halach,3,0,0.000
OT,H2646,voile,3,0,0.000
OT,H2669,liberté,3,0,0.000
OT,H2676,minuit,3,0,0.000
OT,H2738,ortie,3,0,0.000
OT,H2791,vallée des artisans,3,0,0.000
OT,H2800,Harosheth,3,0,0.000
OT,H2808,compte,3,0,0.000
OT,H2903,frontlet,3,0,0.000
OT,H3008,Jigaël,3,0,0.000
OT,H3035,Iddo,3,0,0.000
OT,H3086,Jehoaddin,3,0,0.000
OT,H3138,pluie de la première saison,3,0,0.000
OT,H3193,Jotbatha,3,0,0.000
OT,H3195,Jetur,3,0,0.000
OT,H3203,Jecolja,3,0,0.000
OT,H3244,hibou,3,0,0.000
OT,H3310,Japhlet,3,0,0.000
OT,H3351,substance vivante,3,0,0.000
OT,H3359,Jekamiah,3,0,0.000
OT,H338,bête sauvage des îles,3,0,0.000
OT,H3404,Jeriah,3,0,0.000
OT,H3434,Jashobeam,3,0,0.000
OT,H344,milane,3,0,0.000
OT,H3520,glorieuse,3,0,0.000
OT,H3530,petite distance,3,0,0.000
OT,H358,Élon-Beth-Hanan,3,0,0.000
OT,H3630,Kilion,3,0,0.000
OT,H3641,Calneh,3,0,0.000
OT,H3649,prêtres idolâtres,3,0,0.000
OT,H3659,Conia,3,0,0.000
OT,H3691,Kislev,3,0,0.000
OT,H3726,Chefar-Ammoni,3,0,0.000
OT,H3834,galette,3,0,0.000
OT,H3872,Luhith,3,0,0.000
OT,H3914,addition,3,0,0.000
OT,H4001,foulure,3,0,0.000
OT,H407,Acshaph,3,0,0.000
OT,H4090,discorde,3,0,0.000
OT,H4121,Maharai,3,0,0.000
OT,H4126,venue,3,0,0.000
OT,H4173,traîneau à dépiquer,3,0,0.000
OT,H4176,Moreh,3,0,0.000
OT,H418,bois d'algummim,3,0,0.000
OT,H4195,profit,3,0,0.000
OT,H4274,pierre de taille,3,0,0.000
OT,H4287,Mahath,3,0,0.000
OT,H43,Ebiasaph,3,0,0.000
OT,H4330,pressage,3,0,0.000
OT,H4351,patrie,3,0,0.000
OT,H4395,fruit,3,0,0.000
OT,H4396,chaton,3,0,0.000
OT,H4439,Melchiel,3,0,0.000
OT,H4509,Miniamin,3,0,0.000
OT,H4556,croûte,3,0,0.000
OT,H4764,Merab,3,0,0.000
OT,H4839,bouillon,3,0,0.000
OT,H484,bois d'almug,3,0,0.000
OT,H4855,exaction,3,0,0.000
OT,H4875,désolation,3,0,0.000
OT,H4894,étendage,3,0,0.000
OT,H4915,domination,3,0,0.000
OT,H4977,Mattan,3,0,0.000
OT,H4982,Mattenaï,3,0,0.000
OT,H5108,fruit,3,0,0.000
OT,H5161,Néhelamite,3,0,0.000
OT,H5238,précieuses,3,0,0.000
OT,H5241,Nemuël,3,0,0.000
OT,H5350,moisi,3,0,0.000
OT,H5357,crevasse,3,0,0.000
OT,H5373,nards,3,0,0.000
OT,H5435,boisson,3,0,0.000
OT,H5481,dulciame,3,0,0.000
OT,H5505,marchandise,3,0,0.000
OT,H5563,grappe naissante,3,0,0.000
OT,H5646,poutre,3,0,0.000
OT,H5807,force,3,0,0.000
OT,H5854,Ataroth-Beth-Joab,3,0,0.000
OT,H5859,Ijon,3,0,0.000
OT,H6060,chaîne,3,0,0.000
OT,H6115,stérilité,3,0,0.000
OT,H613,entrave,3,0,0.000
OT,H621,Asenath,3,0,0.000
OT,H625,amas,3,0,0.000
OT,H6306,rançon,3,0,0.000
OT,H6352,charbons,3,0,0.000
OT,H6369,Phichol,3,0,0.000
OT,H6391,division,3,0,0.000
OT,H6397,Pélonite,3,0,0.000
OT,H6411,Pelaïa,3,0,0.000
OT,H6494,Pekachja,3,0,0.000
OT,H6503,Parbar,3,0,0.000
OT,H6508,parc,3,0,0.000
OT,H6632,chariot,3,0,0.000
OT,H6648,étoffe teinte,3,0,0.000
OT,H6725,borne,3,0,0.000
OT,H6761,boiterie,3,0,0.000
OT,H6815,Tsaannannim,3,0,0.000
OT,H6843,diadème,3,0,0.000
OT,H6855,Tsipora,3,0,0.000
OT,H6882,Tsoréen,3,0,0.000
OT,H6909,Kabtséel,3,0,0.000
OT,H692,Areli,3,0,0.000
OT,H6986,destruction,3,0,0.000
OT,H7042,Kelita,3,0,0.000
OT,H7071,Kanah,3,0,0.000
OT,H7076,cannelle,3,0,0.000
OT,H7083,encrier,3,0,0.000
OT,H7090,butor,3,0,0.000
OT,H7100,aneth,3,0,0.000
OT,H7192,pièce d'argent,3,0,0.000
OT,H723,écurie,3,0,0.000
OT,H7293,Rahab,3,0,0.000
OT,H7294,Rahab,3,0,0.000
OT,H7332,maigreur,3,0,0.000
OT,H7452,bruit,3,0,0.000
OT,H7475,tourment,3,0,0.000
OT,H7674,cessation,3,0,0.000
OT,H7697,folie,3,0,0.000
OT,H7908,perte d'enfants,3,0,0.000
OT,H7948,champ,3,0,0.000
OT,H7964,présent de mariage,3,0,0.000
OT,H8061,Shemida,3,0,0.000
OT,H8140,an,3,0,0.000
OT,H8157,fente,3,0,0.000
OT,H8189,Shaaraim,3,0,0.000
OT,H8294,Serach,3,0,0.000
OT,H8321,cep de vigne,3,0,0.000
OT,H8344,Sheshaï,3,0,0.000
OT,H8402,Tibni,3,0,0.000
OT,H8405,Thébec,3,0,0.000
OT,H8472,Tachpenès,3,0,0.000
OT,H8563,amertume,3,0,0.000
OT,H8568,dragon,3,0,0.000
OT,H8580,lézard,3,0,0.000
OT,H8604,folie,3,0,0.000
OT,H8653,tremblement,3,0,0.000
OT,H885,Beéroth Bené Jaakan,3,0,0.000
NT,G1040,lin fin,2,0,0.000
NT,G1082,Gennésareth,2,0,0.000
NT,G115,abrogation,2,0,0.000
NT,G1158,Daniel,2,0,0.000
NT,G1296,ordonnance,2,0,0.000
NT,G1323,tribut,2,0,0.000
NT,G1462,accusation,2,0,0.000
NT,G1545,issue,2,0,0.000
NT,G1650,preuve,2,0,0.000
NT,G1664,Élioud,2,0,0.000
NT,G1771,intention,2,0,0.000
NT,G1780,ensevelissement,2,0,0.000
NT,G1783,intercession,2,0,0.000
NT,G1932,clémence,2,0,0.000
NT,G1997,rassemblement,2,0,0.000
NT,G1999,soulèvement,2,0,0.000
NT,G2024,approvisionnement,2,0,0.000
NT,G2096,Ève,2,0,0.000
NT,G212,vantardise,2,0,0.000
NT,G2120,opportunité,2,0,0.000
NT,G213,vantard,2,0,0.000
NT,G2133,bienveillance,2,0,0.000
NT,G2203,Zeus,2,0,0.000
NT,G2275,diminution,2,0,0.000
NT,G2383,Jaïre,2,0,0.000
NT,G2415,habitant de Jérusalem,2,0,0.000
NT,G2434,propitiation,2,0,0.000
NT,G2457,Jules,2,0,0.000
NT,G2536,Caïnan,2,0,0.000
NT,G257,aire de battage,2,0,0.000
NT,G2581,Cananéen,2,0,0.000
NT,G2589,connaisseur des cœurs,2,0,0.000
NT,G2692,renversement,2,0,0.000
NT,G2757,vain bavardage,2,0,0.000
NT,G2762,petit trait,2,0,0.000
NT,G2774,somme,2,0,0.000
NT,G2790,joueur de cithare,2,0,0.000
NT,G2800,rupture,2,0,0.000
NT,G2826,petit lit,2,0,0.000
NT,G2830,vague,2,0,0.000
NT,G2918,lys,2,0,0.000
NT,G2959,dame,2,0,0.000
NT,G3012,serviette,2,0,0.000
NT,G304,escalier,2,0,0.000
NT,G3053,imagination,2,0,0.000
NT,G3067,lavage,2,0,0.000
NT,G3158,Mathat,2,0,0.000
NT,G3311,division,2,0,0.000
NT,G336,mort,2,0,0.000
NT,G3388,matrice,2,0,0.000
NT,G3446,forme,2,0,0.000
NT,G3500,mortification,2,0,0.000
NT,G3531,Nicolaitane,2,0,0.000
NT,G3582,pot,2,0,0.000
NT,G3601,douleur,2,0,0.000
NT,G3607,toile,2,0,0.000
NT,G3613,habitation,2,0,0.000
NT,G3615,membres de la maisonnée,2,0,0.000
NT,G3630,buveur de vin,2,0,0.000
NT,G3692,caverne,2,0,0.000
NT,G3730,assaut,2,0,0.000
NT,G3776,biens,2,0,0.000
NT,G3783,dette,2,0,0.000
NT,G3787,service des yeux,2,0,0.000
