goi_ordinal,book,chapter,verse,reference_book,reference_chapter,reference_verse,relation,reason,reviewer,status,similarity
003,LEV,6,4,LEV,5,5:23,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.769
003,LEV,6,5,LEV,5,5:24,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.806
003,LEV,6,6,LEV,5,5:25,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.750
003,LEV,6,7,LEV,5,5:26,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.775
003,LEV,6,8,LEV,6,6:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.725
003,LEV,6,9,LEV,6,6:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.805
003,LEV,6,10,LEV,6,6:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.776
003,LEV,6,11,LEV,6,6:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.789
003,LEV,6,12,LEV,6,6:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.770
003,LEV,6,13,LEV,6,6:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.858
003,LEV,6,14,LEV,6,6:7,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.838
003,LEV,6,15,LEV,6,6:8,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.750
003,LEV,6,16,LEV,6,6:9,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.842
003,LEV,6,17,LEV,6,6:10,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.776
003,LEV,6,18,LEV,6,6:11,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.883
003,LEV,6,19,LEV,6,6:12,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.725
003,LEV,6,20,LEV,6,6:13,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.852
003,LEV,6,21,LEV,6,6:14,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.727
003,LEV,6,22,LEV,6,6:15,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.812
003,LEV,6,23,LEV,6,6:16,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.810
003,LEV,6,24,LEV,6,6:17,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.725
003,LEV,6,25,LEV,6,6:18,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.817
003,LEV,6,26,LEV,6,6:19,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.768
003,LEV,6,27,LEV,6,6:20,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.827
003,LEV,6,28,LEV,6,6:21,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.766
003,LEV,6,29,LEV,6,6:22,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.820
003,LEV,6,30,LEV,6,6:23,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.768
003,LEV,11,14,LEV,11,11:14,exact,address match | low similarity 0.411; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.411
003,LEV,13,35,LEV,13,13:35,exact,address match | low similarity 0.525; neighbour 13:34 scores 0.664 > own 0.525; neighbour 13:36 scores 0.642 > own 0.525; hand-reviewed: correct verse; LSG verse boundary differs slightly (part of a neighbour verse moved),Claude (Qwen3 embedding DP),resolved,0.525
003,LEV,14,56,LEV,14,14:56,exact,address match | low similarity 0.468; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.468
003,LEV,24,12,LEV,24,24:12,exact,address match | low similarity 0.525; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.525
004,NUM,2,26,NUM,2,2:26,exact,address match | low similarity 0.527; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.527
004,NUM,29,40,NUM,30,30:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.775
004,NUM,30,1,NUM,30,30:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.751
004,NUM,30,2,NUM,30,30:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.849
004,NUM,30,3,NUM,30,30:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.789
004,NUM,30,4,NUM,30,30:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.790
004,NUM,30,5,NUM,30,30:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.771
004,NUM,30,6,NUM,30,30:7,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.625
004,NUM,30,7,NUM,30,30:8,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.710
004,NUM,30,8,NUM,30,30:9,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.786
004,NUM,30,9,NUM,30,30:10,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.738
004,NUM,30,10,NUM,30,30:11,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.759
004,NUM,30,11,NUM,30,30:12,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.732
004,NUM,30,12,NUM,30,30:13,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.801
004,NUM,30,13,NUM,30,30:14,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.782
004,NUM,30,14,NUM,30,30:15,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.738
004,NUM,30,15,NUM,30,30:16,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.669
004,NUM,30,16,NUM,30,30:17,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.827
005,DEU,14,13,DEU,14,14:13,exact,address match | low similarity 0.532; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.532
007,JDG,17,11,JDG,17,17:11,exact,address match | low similarity 0.539; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.539
009,1SA,20,42,1SA,20,20:42;20:43,merged,LSG numbers this material as separate verses (e.g. Psalm title); joined to one KJV verse,Claude (Qwen3 embedding DP),resolved,0.870
009,1SA,23,29,1SA,24,24:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.811
009,1SA,24,1,1SA,24,24:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.807
009,1SA,24,2,1SA,24,24:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.794
009,1SA,24,3,1SA,24,24:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.780
009,1SA,24,4,1SA,24,24:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.803
009,1SA,24,5,1SA,24,24:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.657
009,1SA,24,6,1SA,24,24:7,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.746
009,1SA,24,7,1SA,24,24:8,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.795
009,1SA,24,8,1SA,24,24:9,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.827
009,1SA,24,9,1SA,24,24:10,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.797
009,1SA,24,10,1SA,24,24:11,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.727
009,1SA,24,11,1SA,24,24:12,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.766
009,1SA,24,12,1SA,24,24:13,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.821
009,1SA,24,13,1SA,24,24:14,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.674
009,1SA,24,14,1SA,24,24:15,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.708
009,1SA,24,15,1SA,24,24:16,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.749
009,1SA,24,16,1SA,24,24:17,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.838
009,1SA,24,17,1SA,24,24:18,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.830
009,1SA,24,18,1SA,24,24:19,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.795
009,1SA,24,19,1SA,24,24:20,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.756
009,1SA,24,20,1SA,24,24:21,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.750
009,1SA,24,21,1SA,24,24:22,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.770
009,1SA,24,22,1SA,24,24:23,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.839
011,1KI,18,34,1KI,18,18:34,exact,address match | neighbour 18:33 scores 0.699 > own 0.611; hand-reviewed: correct verse; LSG verse boundary differs slightly (part of a neighbour verse moved),Claude (Qwen3 embedding DP),resolved,0.611
011,1KI,22,43,1KI,22,22:43;22:44,merged,LSG numbers this material as separate verses (e.g. Psalm title); joined to one KJV verse,Claude (Qwen3 embedding DP),resolved,0.845
011,1KI,22,44,1KI,22,22:45,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.819
011,1KI,22,45,1KI,22,22:46,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.853
011,1KI,22,46,1KI,22,22:47,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.730
011,1KI,22,47,1KI,22,22:48,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.787
011,1KI,22,48,1KI,22,22:49,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.820
011,1KI,22,49,1KI,22,22:50,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.818
011,1KI,22,50,1KI,22,22:51,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.858
011,1KI,22,51,1KI,22,22:52,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.821
011,1KI,22,52,1KI,22,22:53,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.793
011,1KI,22,53,1KI,22,22:54,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.814
012,2KI,4,11,2KI,4,4:11,exact,address match | low similarity 0.490; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.490
013,1CH,1,52,1CH,1,1:52,exact,address match | low similarity 0.502; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.502
013,1CH,9,43,1CH,9,9:43,exact,address match | low similarity 0.522; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.522
014,2CH,4,14,2CH,4,4:14,exact,address match | low similarity 0.527; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.527
014,2CH,14,1,2CH,13,13:23,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.863
014,2CH,14,2,2CH,14,14:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.779
014,2CH,14,3,2CH,14,14:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.816
014,2CH,14,4,2CH,14,14:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.770
014,2CH,14,5,2CH,14,14:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.779
014,2CH,14,6,2CH,14,14:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.871
014,2CH,14,7,2CH,14,14:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.817
014,2CH,14,8,2CH,14,14:7,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.867
014,2CH,14,9,2CH,14,14:8,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.795
014,2CH,14,10,2CH,14,14:9,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.792
014,2CH,14,11,2CH,14,14:10,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.817
014,2CH,14,12,2CH,14,14:11,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.852
014,2CH,14,13,2CH,14,14:12,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.827
014,2CH,14,14,2CH,14,14:13,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.767
014,2CH,14,15,2CH,14,14:14,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.826
018,JOB,3,8,JOB,3,3:8,exact,address match | low similarity 0.541; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.541
018,JOB,6,10,JOB,6,6:10,exact,address match | low similarity 0.473; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.473
018,JOB,6,16,JOB,6,6:16,exact,address match | low similarity 0.459; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.459
018,JOB,6,19,JOB,6,6:19,exact,address match | low similarity 0.542; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.542
018,JOB,6,21,JOB,6,6:21,exact,address match | low similarity 0.532; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.532
018,JOB,6,22,JOB,6,6:22,exact,address match | low similarity 0.538; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.538
018,JOB,9,21,JOB,9,9:21,exact,address match | low similarity 0.531; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.531
018,JOB,11,10,JOB,11,11:10,exact,address match | low similarity 0.487; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.487
018,JOB,12,5,JOB,12,12:5,exact,address match | low similarity 0.516; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.516
018,JOB,13,9,JOB,13,13:9,exact,address match | low similarity 0.518; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.518
018,JOB,16,21,JOB,16,16:21,exact,address match | low similarity 0.539; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.539
018,JOB,17,5,JOB,17,17:5,exact,address match | low similarity 0.513; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.513
018,JOB,18,9,JOB,18,18:9,exact,address match | low similarity 0.489; neighbour 18:8 scores 0.676 > own 0.489; neighbour 18:10 scores 0.604 > own 0.489; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.489
018,JOB,18,21,JOB,18,18:21,exact,address match | low similarity 0.528; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.528
018,JOB,19,17,JOB,19,19:17,exact,address match | low similarity 0.517; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.517
018,JOB,21,23,JOB,21,21:23,exact,address match | low similarity 0.538; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.538
018,JOB,22,20,JOB,22,22:20,exact,address match | low similarity 0.485; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.485
018,JOB,22,21,JOB,22,22:21,exact,address match | low similarity 0.531; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.531
018,JOB,23,6,JOB,23,23:6,exact,address match | low similarity 0.535; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.535
018,JOB,27,12,JOB,27,27:12,exact,address match | low similarity 0.519; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.519
018,JOB,28,4,JOB,28,28:4,exact,address match | low similarity 0.477; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.477
018,JOB,33,16,JOB,33,33:16,exact,address match | low similarity 0.527; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.527
018,JOB,33,19,JOB,33,33:19,exact,address match | low similarity 0.533; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.533
018,JOB,34,14,JOB,34,34:14,exact,address match | low similarity 0.533; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.533
018,JOB,34,27,JOB,34,34:27,exact,address match | low similarity 0.522; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.522
018,JOB,34,36,JOB,34,34:36,split,one LSG verse spans two KJV verses; text shared by both coordinates,Claude (Qwen3 embedding DP),resolved,0.602
018,JOB,34,37,JOB,34,34:36,split,one LSG verse spans two KJV verses; text shared by both coordinates,Claude (Qwen3 embedding DP),resolved,0.602
018,JOB,35,15,JOB,35,35:15,exact,address match | low similarity 0.545; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.545
018,JOB,36,15,JOB,36,36:15,exact,address match | low similarity 0.541; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.541
018,JOB,36,17,JOB,36,36:17,exact,address match | low similarity 0.476; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.476
018,JOB,36,19,JOB,36,36:19,exact,address match | low similarity 0.419; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.419
018,JOB,37,13,JOB,37,37:13,exact,address match | low similarity 0.503; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.503
018,JOB,38,39,JOB,39,39:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.761
018,JOB,38,40,JOB,39,39:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.768
018,JOB,38,41,JOB,39,39:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.794
018,JOB,39,1,JOB,39,39:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.737
018,JOB,39,2,JOB,39,39:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.786
018,JOB,39,3,JOB,39,39:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.699
