strongs_num,strongs_id,lemma,translit,english_default,definition,occurrences,lang,existing_rendering,proposed_rendering,status,notes
5056,G5056,τέλος,télos,end,":--+ continual, custom,  end(-ing), finally, uttermost.",42,vi,,sự cuối cùng,needs_review,
4263,G4263,πρόβατον,próbaton,sheep,:--sheep(-fold).,41,vi,,chiên,needs_review,
2374,G2374,θύρα,thýra,door,":--door, gate.",39,vi,,cửa,needs_review,
1939,G1939,ἐπιθυμία,epithymía,desire,":--concupiscence, desire, lust (after).",38,vi,,lòng ham muốn,needs_review,
2455,G2455,Ἰούδας,Ioúdas,Judas,":--Juda(-h, -s); Jude.",38,vi,,Giu-đa,needs_review,
5376,G5376,Φίλιππος,Phílippos,Philip,:--Philip.,38,vi,,Phi-líp,needs_review,
758,G758,ἄρχων,árchōn,ruler,":--chief (ruler),  magistrate, prince, ruler.",37,vi,,quan trưởng,needs_review,
3141,G3141,μαρτυρία,martyría,testimony,":--record,  report, testimony, witness.",37,vi,,lời chứng,needs_review,
3775,G3775,οὖς,oûs,ear,:--ear.,37,vi,,tai,needs_review,
4335,G4335,προσευχή,proseuchḗ,prayer,":--X  pray earnestly, prayer.",37,vi,,cầu nguyện,needs_review,
68,G68,ἀγρός,agrós,field,":--country, farm, piece of ground, land.",36,vi,,ruộng,needs_review,
3709,G3709,ὀργή,orgḗ,wrath,":--anger, indignation,  vengeance, wrath.",36,vi,,cơn thạnh nộ,needs_review,
4061,G4061,περιτομή,peritomḗ,circumcision,":--X circumcised, circumcision.",36,vi,,cắt bì,needs_review,
4567,G4567,Σατανᾶς,Satanâs,Satan,:--Satan.,36,vi,,Sa-tan,needs_review,
2501,G2501,Ἰωσήφ,Iōsḗph,Joseph,:--Joseph.,35,vi,,Giô-sép,needs_review,
1248,G1248,διακονία,diakonía,ministry,":--(ad-)minister(-ing,  -tration, -try), office, relief, service(-ing).",34,vi,,chức vụ,needs_review,
3144,G3144,μάρτυς,mártys,witness,":-- martyr,  record, witness.",34,vi,,nhân chứng,needs_review,
3196,G3196,μέλος,mélos,member,:--member.,34,vi,,chi thể,needs_review,
1242,G1242,διαθήκη,diathḗkē,covenant,":--covenant, testament.",33,vi,,giao ước,needs_review,
3631,G3631,οἶνος,oînos,wine,:--wine.,33,vi,,rượu,needs_review,
4221,G4221,ποτήριον,potḗrion,cup,:--cup.,33,vi,,chén,needs_review,
975,G975,βιβλίον,biblíon,book,":--bill, book, scroll, writing.",32,vi,,sách,needs_review,
2246,G2246,ἥλιος,hḗlios,sun,":--+ east, sun.",32,vi,,mặt trời,needs_review,
2409,G2409,ἱερεύς,hiereús,priest,:--(high) priest.,32,vi,,thầy tế lễ,needs_review,
4128,G4128,πλῆθος,plēthos,multitude,":--bundle,  company, multitude.",32,vi,,đám đông,needs_review,
4655,G4655,σκότος,skótos,darkness,:--darkness.,32,vi,,bóng tối,needs_review,
4893,G4893,συνείδησις,syneídēsis,conscience,:--conscience.,32,vi,,lương tâm,needs_review,
5281,G5281,ὑπομονή,hypomonḗ,patience,":--enduring,  patience, patient continuance (waiting).",32,vi,,sự nhịn nhục,needs_review,
417,G417,ἄνεμος,ánemos,wind,:--wind.,31,vi,,gió,needs_review,
1249,G1249,διάκονος,diákonos,servant,":--deacon, minister, servant.",31,vi,,người hầu,needs_review,
2541,G2541,Καῖσαρ,Kaîsar,Caesar,:--Cæsar.,31,vi,,Sê-sa,needs_review,
3954,G3954,παῤῥησία,parrhēsía,boldness,":--bold (X  -ly, -ness, -ness of speech), confidence,  X freely, X openly, X plainly(-ness).",31,vi,,sự dạn dĩ,needs_review,
5443,G5443,φυλή,phylḗ,tribe,":--kindred,  tribe.",31,vi,,chi phái,needs_review,
721,G721,ἀρνίον,arníon,Lamb,:--lamb.,30,vi,,Chiên Con,needs_review,
1322,G1322,διδαχή,didachḗ,teaching,":--doctrine, hath been  taught.",30,vi,,sự dạy dỗ,needs_review,
2243,G2243,Ἡλίας,Hēlías,Elijah,:--Elias.,30,vi,,Ê-li,needs_review,
1108,G1108,γνῶσις,gnōsis,knowledge,":--knowledge, science.",29,vi,,sự hiểu biết,needs_review,
2364,G2364,θυγάτηρ,thygátēr,daughter,:--daughter.,29,vi,,con gái,needs_review,
2378,G2378,θυσία,thysía,sacrifice,:--sacrifice.,29,vi,,của tế lễ,needs_review,
3162,G3162,μάχαιρα,máchaira,sword,:--sword.,29,vi,,gươm,needs_review,
3408,G3408,μισθός,misthós,reward,":--hire, reward, wages.",29,vi,,tiền công,needs_review,
3874,G3874,παράκλησις,paráklēsis,comfort,":--comfort, consolation,  exhortation, intreaty.",29,vi,,sự yên ủi,needs_review,
921,G921,Βαρνάβας,Barnábas,Barnabas,:--Barnabas.,28,vi,,Ba-na-ba,needs_review,
1656,G1656,ἔλεος,éleos,mercy,:--(+ tender) mercy.,28,vi,,lòng thương xót,needs_review,
2917,G2917,κρίμα,kríma,judgment,":--avenge, condemned, condemnation, damnation, + go to law,  judgment.",28,vi,,sự phán xét,needs_review,
2968,G2968,κώμη,kṓmē,village,":--town, village.",28,vi,,làng,needs_review,
4716,G4716,σταυρός,staurós,cross,:--cross.,28,vi,,thập tự giá,needs_review,
1672,G1672,Ἕλλην,Héllēn,Greek,":-- Gentile, Greek.",27,vi,,Người Gờ-réc,needs_review,
1859,G1859,ἑορτή,heortḗ,feast,":--feast, holyday.",27,vi,,lễ,needs_review,
2384,G2384,Ἰακώβ,Iakṓb,Jacob,:--also an Israelite:--Jacob.,27,vi,,Gia-cốp,needs_review,
3466,G3466,μυστήριον,mystḗrion,mystery,:--mystery.,27,vi,,huyền nhiệm,needs_review,
5503,G5503,χήρα,chḗra,widow,:--widow.,27,vi,,góa phụ,needs_review,
5561,G5561,χώρα,chṓra,region,":--coast, county, fields, ground,  land, region.",27,vi,,miền,needs_review,
1186,G1186,δένδρον,déndron,tree,:--tree.,26,vi,,cây,needs_review,
3507,G3507,νεφέλη,nephélē,cloud,:--cloud.,26,vi,,mây,needs_review,
4202,G4202,πορνεία,porneía,fornication,:--fornication.,26,vi,,sự tà dâm,needs_review,
4757,G4757,στρατιώτης,stratiṓtēs,soldier,:--soldier.,26,vi,,lính,needs_review,
5095,G5095,Τιμόθεος,Timótheos,Timothy,":--Timotheus,  Timothy.",26,vi,,Ti-mô-thê,needs_review,
93,G93,ἀδικία,adikía,unrighteousness,":--iniquity,  unjust, unrighteousness, wrong.",25,vi,,sự không công bình,needs_review,
79,G79,ἀδελφή,adelphḗ,sister,:--sister.,24,vi,,chị em gái,needs_review,
125,G125,Αἴγυπτος,Aígyptos,Egypt,:--Egypt.,24,vi,,Ê-díp-tô,needs_review,
189,G189,ἀκοή,akoḗ,hearing,":--audience,  ear, fame, which ye heard, hearing, preached, report, rumor.",24,vi,,sự nghe,needs_review,
769,G769,ἀσθένεια,asthéneia,weakness,":--disease, infirmity, sickness, weakness.",24,vi,,sự yếu đuối,needs_review,
792,G792,ἀστήρ,astḗr,star,:--star.,24,vi,,ngôi sao,needs_review,
1992,G1992,ἐπιστολή,epistolḗ,letter,":--""epistle,"" letter.",24,vi,,thư,needs_review,
3341,G3341,μετάνοια,metánoia,repentance,:--repentance.,24,vi,,sự ăn năn,needs_review,
3563,G3563,νοῦς,noûs,mind,":--mind,  understanding.",24,vi,,tâm trí,needs_review,
3816,G3816,παῖς,paîs,servant,":--child, maid(-en), (man) servant, son, young man.",24,vi,,đầy tớ,needs_review,
3952,G3952,παρουσία,parousía,coming,":--coming, presence.",24,vi,,Sự hiện đến,needs_review,
4990,G4990,σωτήρ,sōtḗr,Savior,:--saviour.,24,vi,,Đấng Cứu Thế,needs_review,
290,G290,ἀμπελών,ampelṓn,vineyard,:--vineyard.,23,vi,,vườn nho,needs_review,
1504,G1504,εἰκών,eikṓn,image,:--image.,23,vi,,hình ảnh,needs_review,
2226,G2226,ζῶον,zōon,living creature,:--beast.,23,vi,,sinh vật,needs_review,
2379,G2379,θυσιαστήριον,thysiastḗrion,altar,:--altar.,23,vi,,bàn thờ,needs_review,
2836,G2836,κοιλία,koilía,belly,":--belly, womb.",23,vi,,bụng,needs_review,
3109,G3109,Μακεδονία,Makedonía,Macedonia,:--Macedonia.,23,vi,,Ma-xê-đoan,needs_review,
3900,G3900,παράπτωμα,paráptōma,trespass,":--fall, fault, offence, sin, trespass.",23,vi,,sự phạm tội,needs_review,
4632,G4632,σκεῦος,skeûos,vessel,":--goods, sail, stuff, vessel.",23,vi,,đồ đựng,needs_review,
5505,G5505,χιλιάς,chiliás,thousand,:--thousand.,23,vi,,ngàn,needs_review,
908,G908,βάπτισμα,báptisma,baptism,:--baptism.,22,vi,,báp-têm,needs_review,
2232,G2232,ἡγεμών,hēgemṓn,governor,":--governor, prince, ruler.",22,vi,,quan tổng đốc,needs_review,
4149,G4149,πλοῦτος,ploûtos,riches,:--riches.,22,vi,,sự giàu có,needs_review,
4892,G4892,συνέδριον,synédrion,council,:--council.,22,vi,,hội đồng,needs_review,
5057,G5057,τελώνης,telṓnēs,publican,:--publican.,22,vi,,người thâu thuế,needs_review,
5506,G5506,χιλίαρχος,chilíarchos,captain,":--(chief, high) captain.",22,vi,,quan cơ,needs_review,
1085,G1085,γένος,génos,kind,":--born, country(-man), diversity,  generation, kind(-red), nation, offspring, stock.",21,vi,,dòng dõi,needs_review,
1319,G1319,διδασκαλία,didaskalía,teaching,":--doctrine,  learning, teaching.",21,vi,,sự dạy dỗ,needs_review,
1543,G1543,ἑκατοντάρχης,hekatontárchēs,centurion,:--centurion.,21,vi,,thầy đội,needs_review,
2268,G2268,Ἡσαΐας,Hēsaḯas,Isaiah,:--Esaias.,21,vi,,Ê-sai,needs_review,
3986,G3986,πειρασμός,peirasmós,temptation,":--temptation, X try.",21,vi,,sự cám dỗ,needs_review,
4127,G4127,πληγή,plēgḗ,plague,":--plague, stripe, wound(-ed).",21,vi,,tai vạ,needs_review,
4633,G4633,σκηνή,skēnḗ,tabernacle,":--habitation, tabernacle.",21,vi,,đền tạm,needs_review,
156,G156,αἰτία,aitía,cause,":--accusation,  case, cause, crime, fault, (wh-)ere(-fore).",20,vi,,nguyên nhân,needs_review,
203,G203,ἀκροβυστία,akrobystía,uncircumcision,":--not  circumcised, uncircumcised (with ), uncircumcision.",20,vi,,sự không cắt bì,needs_review,
684,G684,ἀπώλεια,apṓleia,destruction,":--damnable(-nation), destruction, die, perdition, X  perish, pernicious ways, waste.",20,vi,,sự hư mất,needs_review,
694,G694,ἀργύριον,argýrion,silver,":--money, (piece  of) silver (piece).",20,vi,,bạc,needs_review,
1199,G1199,δεσμόν,desmón,bond,":--band, bond, chain, string.",20,vi,,dây xích,needs_review,
1922,G1922,ἐπίγνωσις,epígnōsis,knowledge,":--(ac-)knowledge(-ing, - ment).",20,vi,,sự nhận biết,needs_review,
2464,G2464,Ἰσαάκ,Isaák,Isaac,:--Isaac.,20,vi,,Y-sác,needs_review,
2486,G2486,ἰχθύς,ichthýs,fish,:--fish.,20,vi,,cá,needs_review,
2842,G2842,κοινωνία,koinōnía,fellowship,":--(to) communicate(-ation),  communion, (contri-)distribution, fellowship.",20,vi,,sự thông công,needs_review,
3142,G3142,μαρτύριον,martýrion,testimony,":--to be testified, testimony, witness.",20,vi,,chứng cớ,needs_review,
5257,G5257,ὑπηρέτης,hypērétēs,servant,":--minister,  officer, servant.",20,vi,,người hầu việc,needs_review,
5273,G5273,ὑποκριτής,hypokritḗs,hypocrite,:--hypocrite.,20,vi,,kẻ giả hình,needs_review,
773,G773,Ἀσία,Asía,Asia,:--Asia.,19,vi,,A-si,needs_review,
988,G988,βλασφημία,blasphēmía,blasphemy,":--blasphemy, evil  speaking, railing.",19,vi,,sự phạm thượng,needs_review,
1092,G1092,γεωργός,geōrgós,husbandman,:--husbandman.,19,vi,,người làm ruộng,needs_review,
1118,G1118,γονεύς,goneús,parent,:--parent.,19,vi,,cha mẹ,needs_review,
1162,G1162,δέησις,déēsis,supplication,":--prayer, request, supplication.",19,vi,,lời cầu xin,needs_review,
1435,G1435,δῶρον,dōron,gift,":--gift, offering.",19,vi,,quà dâng,needs_review,
2873,G2873,κόπος,kópos,labor,":--labour, + trouble,  weariness.",19,vi,,lao khổ,needs_review,
2937,G2937,κτίσις,ktísis,creation,":--building, creation, creature,  ordinance.",19,vi,,sự sáng tạo,needs_review,
3586,G3586,ξύλον,xýlon,wood,":--staff, stocks, tree, wood.",19,vi,,gỗ,needs_review,
4394,G4394,προφητεία,prophēteía,prophecy,":--prophecy,  prophesying.",19,vi,,lời tiên tri,needs_review,
318,G318,ἀνάγκη,anánkē,necessity,":--distress, must needs, (of)  necessity(-sary), needeth, needful.",18,vi,,sự cần thiết,needs_review,
490,G490,Ἀντιόχεια,Antiócheia,Antioch,:--Antioch.,18,vi,,An-ti-ốt,needs_review,
602,G602,ἀποκάλυψις,apokálypsis,revelation,":--appearing, coming, lighten, manifestation, be  revealed, revelation.",18,vi,,Sự mặc thị,needs_review,
2344,G2344,θησαυρός,thēsaurós,treasure,:--treasure.,18,vi,,kho báu,needs_review,
2372,G2372,θυμός,thymós,wrath,":--fierceness, indignation,  wrath.",18,vi,,cơn thạnh nộ,needs_review,
3376,G3376,μήν,mḗn,month,:--month.,18,vi,,tháng,needs_review,
